sample_id,n_tls,mean_gnn,median_gnn,max_gnn,std_gnn,n_immuno,n_tolero,mean_composite,mean_plasma,mean_tregs,mean_chemo,mean_myl_sup,total_spots,pct_tolero,tissue_type
GSM5924051_frozen_c_5,2,0.4370395690202713,0.4370395690202713,0.4895952045917511,0.0743248926043246,2,0,0.2574128971317473,1.6208820060888929,0.06398290622565485,0.400805209521894,0.1509837305204635,7,0.0,frozen
GSM5924048_frozen_b_13,6,0.3773889371659606,0.12832352146506304,0.9721341729164124,0.46332480066193305,4,2,0.24032078745716337,0.8421177081741669,0.048997323311106435,0.1583084678881531,0.16155796878533193,42,0.3333333333333333,frozen
GSM5924030_ffpe_c_2,150,0.37400129019625644,0.19236702471971506,0.9912432432174684,0.37320206410066253,98,52,0.2605557294003847,1.523264131440861,0.04667221575738375,0.2549440094161051,0.18297785763382968,1048,0.3466666666666667,ffpe
GSM5924049_frozen_b_18,2,0.30358684819657356,0.30358684819657356,0.6032845377922058,0.42383653723802517,1,1,0.2672213699017051,1.5469087828530206,0.0730708976917796,0.24751777696087707,0.1060079651950585,9,0.5,frozen
GSM5924035_ffpe_c_20,22,0.2878771762956272,0.20897348225116724,0.9469007849693298,0.2741796325839209,18,4,0.3032314528144841,1.4570085075407315,0.0801542966143049,0.49259133172173875,0.05102908567374074,69,0.18181818181818182,ffpe
GSM5924044_frozen_a_15,36,0.2815541638576633,0.08423292636871335,0.9337897896766664,0.3485237110660789,25,11,0.25532607632260507,1.4173415477807931,0.04694241364076106,0.20294584425205076,0.1263871858289544,232,0.3055555555555556,frozen
GSM5924031_ffpe_c_3,240,0.27731786914608525,0.11163065955042835,0.9844472408294678,0.336287760440864,177,63,0.26652389693012946,1.3387518196033772,0.06439731631813243,0.4384207166092172,0.16524344944633892,3549,0.2625,ffpe
GSM5924033_ffpe_c_7,281,0.2561414466164716,0.1480124145746231,0.946199357509613,0.28248793744795286,228,53,0.2773923065594002,1.4437472712355677,0.03964523407606928,0.551493149883735,0.08285684379966608,1437,0.18861209964412812,ffpe
GSM5924037_ffpe_c_34,64,0.25131587541545736,0.13124711066484446,0.9370447993278505,0.26303644282595434,54,10,0.2640556914064753,1.3905851803430251,0.05962832266732151,0.36618997387725993,-0.004983511227460038,202,0.15625,ffpe
GSM5924039_ffpe_c_39,1,0.2502865791320801,0.2502865791320801,0.2502865791320801,,1,0,0.2287021000108918,1.0305141766866048,0.0958759702576531,0.1423893745499428,-0.3022414283720331,3,0.0,ffpe
GSM5924046_frozen_b_1,4,0.2129696169868111,0.22430780529975886,0.3530707061290741,0.12438631776073698,4,0,0.25793074500095836,1.51527634051111,0.1056259119013945,0.3080679515897224,0.036876954951069546,13,0.0,frozen
GSM5924034_ffpe_c_10,71,0.1859150094367091,0.0852151289582252,0.9510285258293152,0.21800796938861772,66,5,0.26302922709359505,1.1574039680448407,0.012419479197466266,0.5783592436303249,0.013367490140510125,250,0.07042253521126761,ffpe
GSM5924050_frozen_c_2,3,0.1848674428959687,0.0932035967707634,0.4115306735038757,0.19748837257771257,3,0,0.25706754004006704,1.3677243655875877,0.0043692339923647,0.30448314597711007,0.07035594774817777,11,0.0,frozen
GSM5924032_ffpe_c_4,29,0.12876766510628931,0.0758544355630874,0.8489737510681152,0.17818551231113072,27,2,0.2642541930479591,1.1425298474846346,0.01403566449334143,0.5191937361458586,0.03488445656883389,114,0.06896551724137931,ffpe
GSM5924042_frozen_a_1,2,0.06607099622488015,0.06607099622488015,0.1085597947239875,0.060088235086375216,2,0,0.2601998793096113,1.349719422052777,0.0228741872255449,0.30050157410260936,0.16222933188107064,16,0.0,frozen
GSM5924036_ffpe_c_21,2,0.009570454712957099,0.009570454712957099,0.0115631520748138,0.0028180996348428325,2,0,0.25254142127752277,1.3124449581570097,0.02342998994721305,0.19014352058320735,0.21293230650802256,6,0.0,ffpe
